ID,username,InTime,device_id,group_id,employee_id
3766,ba,2023-12-31 13:25:18+00:00,DmcGate10,Group object (2),test_dmc21
3864,da,2023-12-31 14:38:09+00:00,DmcGate10,Group object (2),test_dmc41
3977,ea,2023-12-31 15:09:58+00:00,DmcGate10,Group object (2),test_dmc51
3978,ea,2023-12-31 15:27:22+00:00,DmcGate10,Group object (2),test_dmc51
3979,rezvi,2023-12-31 16:04:57+00:00,DmcGate10,Group object (2),1
3980,rezvi,2023-12-31 16:05:01+00:00,DmcGate10,Group object (2),1
3981,ea,2023-12-31 16:14:32+00:00,DmcGate10,Group object (2),test_dmc51
3982,ea,2023-12-31 16:15:10+00:00,DmcGate10,Group object (2),test_dmc51
3983,da,2023-12-31 16:18:37+00:00,DmcGate10,Group object (2),test_dmc41
3984,rezvi,2023-12-31 16:18:47+00:00,DmcGate10,Group object (2),1
3985,adsfgsd,2023-12-31 16:21:26+00:00,DmcGate10,Group object (2),DMC200
3986,rezvi,2023-12-31 16:26:40+00:00,DmcGate10,Group object (2),1
3987,ea,2023-12-31 16:32:30+00:00,DmcGate10,Group object (2),test_dmc51
3988,ea,2023-12-31 08:48:02+00:00,DmcGate10,Group object (2),test_dmc51
3989,rezvi,2023-12-31 11:40:50+00:00,DmcGate10,Group object (2),1
3990,rezvi,2023-12-31 11:40:52+00:00,DmcGate10,Group object (2),1
3991,rezvi,2023-12-31 11:40:55+00:00,DmcGate10,Group object (2),1
3992,adsfgsd,2023-12-31 11:40:58+00:00,DmcGate10,Group object (2),DMC200
3993,da,2023-12-31 11:43:42+00:00,DmcGate10,Group object (2),test_dmc41
3994,ja,2023-12-31 11:44:15+00:00,DmcGate10,Group object (2),test_dmc91
3995,rezvi,2023-12-31 11:50:50+00:00,DmcGate10,Group object (2),1
3996,adsfgsd,2023-12-31 11:54:09+00:00,DmcGate10,Group object (2),DMC200
3997,adsfgsd,2023-12-31 11:54:12+00:00,DmcGate10,Group object (2),DMC200
3998,adsfgsd,2023-12-31 11:54:16+00:00,DmcGate10,Group object (2),DMC200
3999,rezvi,2023-12-31 12:00:18+00:00,DmcGate10,Group object (2),1
4000,rezvi,2023-12-31 12:00:31+00:00,DmcGate10,Group object (2),1
4001,rezvi,2023-12-31 12:00:53+00:00,DmcGate10,Group object (2),1
4002,rezvi,2023-12-31 12:00:56+00:00,DmcGate10,Group object (2),1
4003,aa,2023-12-31 18:22:56+00:00,DmcGate10,Group object (2),test_dmc11
4004,ca,2023-12-31 18:23:20+00:00,DmcGate10,Group object (2),test_dmc31
4005,aa,2023-12-31 18:23:35+00:00,DmcGate10,Group object (2),test_dmc11
4006,aa,2023-12-31 18:24:26+00:00,DmcGate10,Group object (2),test_dmc11
4007,aa,2023-12-31 18:25:12+00:00,DmcGate10,Group object (2),test_dmc11
4008,aa,2023-12-31 18:25:13+00:00,DmcGate10,Group object (2),test_dmc11
4009,ba,2023-12-31 18:28:50+00:00,DmcGate10,Group object (2),test_dmc21
4010,adsfgsd,2023-12-31 18:29:02+00:00,DmcGate10,Group object (2),DMC200
4011,adsfgsd,2023-12-31 18:29:06+00:00,DmcGate10,Group object (2),DMC200
4012,ja,2023-12-31 18:30:03+00:00,DmcGate10,Group object (2),test_dmc91
4013,ja,2023-12-31 18:30:32+00:00,DmcGate10,Group object (2),test_dmc91
4014,ja,2023-12-31 18:30:36+00:00,DmcGate10,Group object (2),test_dmc91
4015,ja,2023-12-31 19:16:43+00:00,DmcGate10,Group object (2),test_dmc91
4016,ja,2023-12-31 19:52:16+00:00,DmcGate10,Group object (2),test_dmc91
4017,ja,2023-12-31 20:47:05+00:00,DmcGate10,Group object (2),test_dmc91
4018,ja,2023-12-31 20:47:14+00:00,DmcGate10,Group object (2),test_dmc91
4019,ja,2023-12-31 22:23:01+00:00,DmcGate10,Group object (2),test_dmc91
4020,ja,2023-12-31 22:23:05+00:00,DmcGate10,Group object (2),test_dmc91
4026,adsfgsd,2024-01-01 03:49:07+00:00,DmcGate10,Group object (2),DMC200
4027,ea,2024-01-01 04:00:22+00:00,DmcGate10,Group object (2),test_dmc51
4028,ea,2024-01-01 04:03:16+00:00,DmcGate10,Group object (2),test_dmc51
4029,adsfgsd,2024-01-01 04:18:41+00:00,DmcGate10,Group object (2),DMC200
4030,adsfgsd,2024-01-01 04:20:17+00:00,DmcGate10,Group object (2),DMC200
4031,adsfgsd,2024-01-01 04:20:18+00:00,DmcGate10,Group object (2),DMC200
4032,ea,2024-01-01 04:30:40+00:00,DmcGate10,Group object (2),test_dmc51
4033,adsfgsd,2024-01-01 04:59:37+00:00,DmcGate10,Group object (2),DMC200
4034,ea,2024-01-01 05:04:56+00:00,DmcGate10,Group object (2),test_dmc51
4035,ea,2024-01-01 05:04:59+00:00,DmcGate10,Group object (2),test_dmc51
4036,ea,2024-01-01 05:05:02+00:00,DmcGate10,Group object (2),test_dmc51
4037,ea,2024-01-01 05:05:06+00:00,DmcGate10,Group object (2),test_dmc51
4038,ea,2024-01-01 05:05:09+00:00,DmcGate10,Group object (2),test_dmc51
4039,ea,2024-01-01 05:05:12+00:00,DmcGate10,Group object (2),test_dmc51
